units,base,,name,img,type,effect,VP
3,eventbase.png,,Team Rocket,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,"Take the top card of every Route deck and put them in the Team Rocket Hideout instead.

Discard this card immediately.",
3,eventbase.png,,Sleeping Snorlax!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,"Place Snorlax on any non Tier 1 route Deck. If Snorlax is already on the map, move it instead.
(This deck encountered, and you can't pass through it).

Discard this card immediately.",
6,eventbase.png,,Trade!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,"Search any Route deck, you may take 1 of the available Pokémon in exchange for a Pokémon you own of equal rarity.",
2,eventbase.png,,Scavenger!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,Encounter the top card of the Event Discard pile instead. Then Discard this card.,
1,eventbase.png,,*PERMAFROST*,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,Articuno,
1,eventbase.png,,*INFERNO*,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,Moltres,
1,eventbase.png,,*LIGHTNING STORM*,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,Zapdos,
1,eventbase.png,,*A NEW RULER*,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,Mewtwo,
1,eventbase.png,,*MOTHER OF ALL*,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Instant Event,Mew,
6,eventbase.png,,Lost Eevee!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Perm Event,"At the start of every turn roll a die, then move this card. When this event is encountered again, the Trainer gains Eevee:

11-12: Cinnabar Island
9-10: Pewter City
7-8: Saffron City
5-6: Lavender City
3-4: Fuchsia
1-3: Stay at current location",
3,eventbase.png,,Race!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Perm Event,"Roll and place this card at location:
10-12: Pewter City
7-9: Lavender Town
4-6: Fuchsia City
1-3: Cinnabar Island

First player to reach this card, gains +5 EXP",
1,eventbase.png,,Daycare,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Perm Event,Gain +1 EXP per unused Card in hand.,
