units,base,id,name,sprite,title,type,hp,atk,def,spd,trigger,trigger2,trigger3,ability,explanation,sm1sprite,lg1sprite,ida,sm2sprite,lg2sprite,idb,sm3sprite,lg3sprite,idc
1,base3a.png,No.OO1,BULBASAUR,1.png,THE SEED POKÉMON,GRASS,4,5,5,4,,,,"At the end of each Round, Bulbsaur Recovers 1 HP to all allies",,,1.png,No.OO1,2.png,,No.OO2,3.png,,No.OO3
1,base3a.png,No.OO4,CHARMANDER,4.png,THE LIZARD POKÉMON,FIRE,3,5,4,5,,,,Charmander gains +1 ATK for every Burned die it has.,*Burned die:* Burned dice will not be rolled the next round,,4.png,No.OO4,5.png,,No.OO5,6.png,,No.OO6
1,base3a.png,No.OO7,SQUIRTLE,7.png,THE TINY TURTLE POKÉMON,WATER,4,4,5,4,,,,"Immediately before Attacking, Squirtle may move any 1 ally die from Defense Zone to the Attack Zone or vice versa regardless of stats.",,,7.png,No.OO7,8.png,,No.OO8,9.png,,No.OO9
1,base3a.png,No.O1O,CATERPIE,10.png,THE WORM POKÉMON,BUG,4,2,2,4,,,,When Metapod is revealed (even if not encountered). Evolve Caterpie immediately. Re-draw the encounter.,,,10.png,No.O1O,11.png,,No.O11,12.png,,No.O12
1,base3b.png,No.O11,METAPOD,11.png,THE COCOON POKÉMON,BUG,4,2,3,3,,,,When Butterfree is revealed (even if not encountered). Evolve Metapod immediately. Re-draw the encounter.,,10.png,,No.O1O,,11.png,No.O11,12.png,,No.O12
1,base3a.png,No.O13,WEEDLE,13.png,THE HAIRY BUG POKÉMON,BUG,4,2,2,4,,,,When Kakuna is revealed (even if not encountered). Evolve Weedle immediately. Re-draw the encounter.,,,13.png,No.O13,14.png,,No.O14,15.png,,No.O15
1,base3b.png,No.O14,KAKUNA,14.png,THE COCOON POKÉMON,BUG,4,2,3,3,,,,When Beedrill is revealed (even if not encountered). Evolve Kakuna immediately. Re-draw the encounter.,,13.png,,No.O13,,14.png,No.O14,15.png,,No.O15
1,base3a.png,No.O16,PIDGEY,16.png,THE TINY BIRD POKÉMON,FLYING,3,3,3,5,,,,"If an ally is slower than Pidgey, Pidgey Draws them 1 Card at the start of Round",,,16.png,No.O16,17.png,,No.O17,18.png,,No.O18
1,base2a.png,No.O19,RATTATA,19.png,THE MOUSE POKÉMON,NORMAL,3,3,3,6,,,,"At the start of an ally's turn, Rattata may remove 1 Move from the Move Pool, immediately replenish it with the top of the Move deck.",,,19.png,No.O19,,,,20.png,,No.O2O
1,base2a.png,No.O21,SPEAROW,21.png,THE TINY BIRD POKÉMON,FLYING,3,4,2,6,,,,"At the start of Round, an ally may discard 1 card, if they do, Spearow Draws 1",,,21.png,No.O21,,,,22.png,,No.O22
1,base2a.png,No.O23,EKANS,23.png,THE SNAKE POKÉMON,POISON,3,4,4,4,,,,,,,23.png,No.O23,,,,24.png,,No.O24
1,base2a.png,No.O25,PIKACHU,25.png,THE MOUSE POKÉMON,ELECTRIC,3,4,4,7,,,,,,,25.png,No.O25,,,,26.png,,No.O26
1,base2a.png,No.O27,SANDSHREW,27.png,THE MOUSE POKÉMON,GROUND,4,4,5,3,,,,"At the start of Round, Sandshrew Digs 1. ","*Dig X:* Look at the top X cards, you may Discard any of them instead.",,27.png,No.O27,,,,28.png,,No.O28
1,base3a.png,No.O29,NIDORAN♀,29.png,THE POISON PIN POKÉMON,POISON,5,3,4,3,,,,Whenever you add a Poison card to the Rival's Deck. Nidoran gives -1 to a die of your choice.,,,29.png,No.O29,30.png,,No.O3O,31.png,,No.O31
1,base3a.png,No.O32,NIDORAN♂,32.png,THE POISON PIN POKÉMON,POISON,4,4,3,4,,,,Whenever you add a Poison card to the Rival's Deck. Nidoran gives +1 to a die of your choice.,,,32.png,No.O32,33.png,,No.O33,34.png,,No.O34
1,base2a.png,No.O35,CLEFAIRY,35.png,THE FAIRY POKÉMON,NORMAL,6,4,4,3,,,,At the start of Clefairy's Turns look at the top card of the Move Deck. It may move it on the bottom instead.,,,35.png,No.O35,,,,36.png,,No.O36
1,base2a.png,No.O37,VULPIX,37.png,THE FOX POKÉMON,FIRE,3,4,4,5,,,,Vulpix allows allies to use Burned dice as rolls of 12,*Burned die:* Burned dice will not be rolled the next round,,37.png,No.O37,,,,38.png,,No.O38
1,base2a.png,No.O39,JIGGLYPUFF,39.png,THE BALLOON POKÉMON,NORMAL,9,4,2,2,,,,At the start of an ally's turn. Jigglypuff grants them +1 EXP,,,39.png,No.O39,,,,40.png,,No.O4O
1,base2a.png,No.O41,ZUBAT,41.png,THE BAT POKÉMON,POISON,3,3,3,5,,,,,,,41.png,No.O41,,,,42.png,,No.O42
1,base3a.png,No.O43,ODDISH,43.png,THE WEED POKÉMON,GRASS,4,5,5,2,,,,,,,43.png,No.O43,44.png,,No.O44,45.png,,No.O45
1,base2a.png,No.O46,PARAS,46.png,THE MUSHROOM POKÉMON,BUG,3,5,4,2,,,,"At the start of your turn, Paras may fill out 1 empty slot on your current route",,,46.png,No.O46,,,,47.png,,No.O47
1,base2a.png,No.O48,VENONAT,48.png,THE INSECT POKÉMON,BUG,5,4,4,4,,,,"At the start of your turn, Venonat may switch the locations of 2 adjacent wild Pokemon on the same Route.",,,48.png,No.O48,,,,49.png,,No.O49
1,base2a.png,No.O5O,DIGLETT,50.png,THE MOLE POKÉMON,GROUND,1,3,3,8,,,,"At the end of Round, Diglett Digs 1. ","*Dig X:* Look at the top X cards, you may Discard any of them instead.",,50.png,No.O5O,,,,51.png,,No.O51
1,base2a.png,No.O52,MEOWTH,52.png,THE SCRATCH CAT POKÉMON,NORMAL,3,3,3,8,,,,Meowth increases the EXP gained from unused dice by 1,,,52.png,No.O52,,,,53.png,,No.O53
1,base2a.png,No.O54,PSYDUCK,54.png,THE DUCK POKÉMON,WATER,4,5,4,4,,,,Psyduck may use its allies ATK and DEF instead of its own.,,,54.png,No.O54,,,,55.png,,No.O55
1,base2a.png,No.O56,MANKEY,56.png,THE PIG MONKEY POKÉMON,FIGHTING,3,5,3,6,,,,Mankey increases all allied X values by 1.,,,56.png,No.O56,,,,57.png,,No.O57
1,base2a.png,No.O58,GROWLITHE,58.png,THE PUPPY POKÉMON,FIRE,4,6,4,5,,,,"Whenever an ally Burns dice, Growlithe Burns 1 enemy die.",*Burned die:* Burned dice will not be rolled the next round,,58.png,No.O58,,,,59.png,,No.O59
1,base3a.png,No.O6O,POLIWAG,60.png,THE TADPOLE POKÉMON,WATER,3,4,3,8,,,,,,,60.png,No.O6O,61.png,,No.O61,62.png,,No.O62
1,base3a.png,No.O63,ABRA,63.png,THE PSI POKÉMON,PSYCHIC,2,5,3,7,,,,"After rolling dice, Abra may target any 1 die and give it +1 or -1",,,63.png,No.O63,64.png,,No.O64,65.png,,No.O65
1,base3a.png,No.O66,MACHOP,66.png,THE SUPERPOWER POKÉMON,FIGHTING,6,5,3,3,,,,"Whenever Machop uses a Fighting type move, it gains +1 ATK till the end of Round.",,,66.png,No.O66,67.png,,No.O67,68.png,,No.O68
1,base3a.png,No.O69,BELLSPROUT,69.png,THE FLOWER POKÉMON,GRASS,4,6,3,3,,,,,,,69.png,No.O69,70.png,,No.O7O,71.png,,No.O71
1,base2a.png,No.O72,TENTACOOL,72.png,THE JELLYFISH POKÉMON,WATER,3,4,5,6,,,,,,,72.png,No.O72,,,,73.png,,No.O73
1,base3a.png,No.O74,GEODUDE,74.png,THE ROCK POKÉMON,ROCK,3,5,5,2,,,,"Geodude may discard dice equal to or lower than its DEF value, to reduce incoming damage by 1.",,,74.png,No.O74,75.png,,No.O75,76.png,,No.O76
1,base2a.png,No.O79,SLOWPOKE,79.png,THE DOPEY POKÉMON,WATER,8,4,4,1,,,,"The first time a die enters an ally's Defense Zone, Krabby grants all allies +1 ATK.",,,79.png,No.O79,,,,80.png,,No.O8O
1,base2a.png,No.O81,MAGNEMITE,81.png,THE MAGNET POKÉMON,ELECTRIC,2,5,5,4,,,,,,,81.png,No.O81,,,,82.png,,No.O82
1,base2a.png,No.O84,DODUO,84.png,THE TWIN BIRD POKÉMON,FLYING,3,5,3,6,,,,You may roll 2 Movement dice instead of 1. You pick which result you would like to use.,,,84.png,No.O84,,,,85.png,,No.O85
1,base2a.png,No.O86,SEEL,86.png,THE SEA LION POKÉMON,ICE,5,4,5,4,,,,"At the start of each Round, Seel Freezes 1 ally die.",,,86.png,No.O86,,,,87.png,,No.O87
1,base2a.png,No.O88,GRIMER,88.png,THE SLUDGE POKÉMON,POISON,7,5,4,2,,,,Whenever you add Poison cards to the Rival's Deck. Grimer recovers 1 HP to all allies.,,,88.png,No.O88,,,,89.png,,No.O89
1,base2a.png,No.O9O,SHELLDER,90.png,THE BIVALVE POKÉMON,ICE,3,4,5,3,,,,,,,90.png,No.O9O,,,,91.png,,No.O91
1,base3a.png,No.O92,GASTLY,92.png,THE GAS POKÉMON,GHOST,2,5,3,7,,,,"At the start of Round, Gastly forcing Rival to Discard 1 Card.",,,92.png,No.O92,93.png,,No.O93,94.png,,No.O94
1,base2a.png,No.O96,DROWZEE,96.png,THE HYPNOSIS POKÉMON,PSYCHIC,5,4,5,4,,,,"After rolling dice, Drowzee may re-roll any 1 allied die.",,,96.png,No.O96,,,,97.png,,No.O97
1,base2a.png,No.O98,KRABBY,98.png,THE RIVER CRAB POKÉMON,WATER,2,5,5,4,,,,"The first time an ally loses HP, Horsea draws 1.",,,98.png,No.O98,,,,99.png,,No.O99
1,base2a.png,No.1OO,VOLTORB,100.png,THE BALL POKÉMON,ELECTRIC,3,4,4,8,,,,,,,100.png,No.1OO,,,,101.png,,No.1O1
1,base2a.png,No.1O4,CUBONE,104.png,THE LONELY POKÉMON,GROUND,4,3,6,3,,,,"The first time an ally performs a Move, Cubone may place the used card back on top of the deck, rather than discard it.",,,104.png,No.1O4,,,,105.png,,No.1O5
1,base2a.png,No.1O9,KOFFING,109.png,THE POISON GAS POKÉMON,POISON,3,5,6,3,,,,Whenever you add Poison cards to the Rival's Deck. Koffing deals 1 damage.,,,109.png,No.1O9,,,,110.png,,No.11O
1,base2a.png,No.116,HORSEA,116.png,THE DRAGON POKÉMON,WATER,3,4,4,5,,,,"The first time a die enters an ally's Attack Zone, Goldeen grants all allies +1 DEF.",,,116.png,No.116,,,,117.png,,No.117
1,base2a.png,No.118,GOLDEEN,118.png,THE GOLDFISH POKÉMON,WATER,4,4,4,5,,,,,,,118.png,No.118,,,,119.png,,No.119
1,base2a.png,No.12O,STARYU,120.png,THE STAR SHAPE POKÉMON,WATER,3,5,4,7,,,,,,,120.png,No.12O,,,,121.png,,No.121
1,base1.png,No.132,DITTO,132.png,THE TRANSFORM POKÉMON,NORMAL,4,4,4,4,,,,"Whenever Ditto is sent into battle, you may put another Pokemon you own in its place.",,,,,,132.png,No.132,,,
1,base3b.png,No.OO2,IVYSAUR,2.png,THE SEED POKÉMON,GRASS,5,5,6,5,,,,"At the end of each Round, Ivysaur Recovers 2 HP to all allies",,1.png,,No.OO1,,2.png,No.OO2,3.png,,No.OO3
1,base3b.png,No.OO5,CHARMELEON,5.png,THE FLAME POKÉMON,FIRE,5,6,5,6,,,,Charmeleon gets +2 ATK for every Burned die it has.,*Burned die:* Burned dice will not be rolled the next round,4.png,,No.OO4,,5.png,No.OO5,6.png,,No.OO6
1,base3b.png,No.OO8,WARTORTLE,8.png,THE TURTLE POKÉMON,WATER,5,5,6,5,,,,"Immediately before Attacking, Wartortle may move any 2 ally die from Defense Zone to the Attack Zone or vice versa regardless ofstats.",,7.png,,No.OO7,,8.png,No.OO8,9.png,,No.OO9
1,base3c.png,No.O12,BUTTERFREE,12.png,THE BUTTERFLY POKÉMON,BUG,5,5,5,6,,,,"Butterfree gives allies DEF equal to number of Bug type Pokemon owned.

(DEF cannot exceed 12)",,10.png,,No.O1O,11.png,,No.O11,,12.png,No.O12
1,base3c.png,No.O15,BEEDRILL,15.png,THE POISON BEE POKÉMON,BUG,6,5,5,6,,,,"Beedrill gives allies ATK equal to number of Bug type Pokemon owned.
",,13.png,,No.O13,14.png,,No.O14,,15.png,No.O15
1,base3b.png,No.O17,PIDGEOTTO,17.png,THE BIRD POKÉMON,FLYING,5,5,4,6,,,,"If an ally is slower than Pidgeotto, Pidgeotto Draws them 2 Cards at the start of Round",,16.png,,No.O16,,17.png,No.O17,18.png,,No.O18
1,base2b.png,No.O2O,RATICATE,20.png,THE MOUSE POKÉMON,NORMAL,5,5,5,8,,,,"At the start of an ally's turn, Raticate may remove up to 3 Moves from the Move Pool, immediately replenish them with the top of the Move deck.",,19.png,,No.O19,,,,,20.png,No.O2O
1,base2b.png,No.O24,ARBOK,24.png,THE COBRA POKÉMON,POISON,5,6,6,7,,,,,,23.png,,No.O23,,,,,24.png,No.O24
1,base2b.png,No.O28,SANDSLASH,28.png,THE MOUSE POKÉMON,GROUND,6,6,7,5,,,,"At the start of Round, Sandslash Digs 3. 
","*Dig X:* Look at the top X cards, you may Discard any of them instead.",27.png,,No.O27,,,,,28.png,No.O28
1,base3b.png,No.O3O,NIDORINA,30.png,THE POISON PIN POKÉMON,POISON,6,5,5,4,,,,Whenever you add a Poison card to the Rival's Deck. Nidorina gives -2 to a die of your choice.,,29.png,,No.O29,,30.png,No.O3O,31.png,,No.O31
1,base3b.png,No.O33,NIDORINO,33.png,THE POISON PIN POKÉMON,POISON,5,5,5,5,,,,Whenever you add a Poison card to the Rival's Deck. Nidorino gives +2 to a die of your choice.,,32.png,,No.O32,,33.png,No.O33,34.png,,No.O34
1,base3b.png,No.O44,GLOOM,44.png,THE WEED POKÉMON,GRASS,5,6,6,3,,,,,,43.png,,No.O43,,44.png,No.O44,45.png,,No.O45
1,base2b.png,No.O47,PARASECT,47.png,THE MUSHROOM POKÉMON,BUG,5,6,6,3,,,,"At the start of your turn, Parasect may fill out empty slots on your current route equal to the number of Bug types you own",,46.png,,No.O46,,,,,47.png,No.O47
1,base2b.png,No.O51,DUGTRIO,51.png,THE MOLE POKÉMON,GROUND,3,6,5,1O,,,,"At the end of Round, Dugtrio Digs 3.","*Dig X:* Look at the top X cards, you may Discard any of them instead.",50.png,,No.O5O,,,,,51.png,No.O51
1,base3b.png,No.O61,POLIWHIRL,61.png,THE TADPOLE POKÉMON,WATER,5,5,5,7,,,,,,60.png,,No.O6O,,61.png,No.O61,62.png,,No.O62
1,base3b.png,No.O64,KADABRA,64.png,THE PSI POKÉMON,PSYCHIC,3,6,4,9,,,,"After rolling dice, Kadabra may target any 1 die and give it +2 or -2",,63.png,,No.O63,,64.png,No.O64,65.png,,No.O65
1,base3b.png,No.O67,MACHOKE,67.png,THE SUPERPOWER POKÉMON,FIGHTING,7,6,5,4,,,,"Whenever Machoke uses a Fighting type move, it gains +2 ATK till the end of Round.",,66.png,,No.O66,,67.png,No.O67,68.png,,No.O68
1,base3b.png,No.O7O,WEEPINBELL,70.png,THE FLYCATCHER POKÉMON,GRASS,5,7,4,5,,,,,,69.png,,No.O69,,70.png,No.O7O,71.png,,No.O71
1,base3b.png,No.O75,GRAVELER,75.png,THE ROCK POKÉMON,ROCK,5,6,6,3,,,,"Graveler may discard dice equal to or lower than its DEF value, to reduce incoming damage by 2.",,74.png,,No.O74,,75.png,No.O75,76.png,,No.O76
1,base2a.png,No.O77,PONYTA,77.png,THE FIRE HORSE POKÉMON,FIRE,4,6,5,7,,,,"If you have any Burned dice, Ponyta gives all allies +1 ATK",*Burned die:* Burned dice will not be rolled the next round,,77.png,No.O77,,,,78.png,,No.O78
1,base2b.png,No.O82,MAGNETON,82.png,THE MAGNET POKÉMON,ELECTRIC,4,7,7,6,,,,,,81.png,,No.O81,,,,,82.png,No.O82
1,base1.png,No.O83,FARFETCH'D,83.png,THE WILD DUCK POKÉMON,NORMAL,4,6,5,5,,,,"At the end of Farfetch'd's Turn, it may swap the positions of 2 allied Pokemon (Farfetch'd cannot target itself with this ability)",,,,,,83.png,No.O83,,,
1,base3b.png,No.O93,HAUNTER,93.png,THE GAS POKÉMON,GHOST,4,6,4,8,,,,"At the start of Round, Haunter forcing Rival to Discard 2 Cards.",,92.png,,No.O92,,93.png,No.O93,94.png,,No.O94
1,base1.png,No.O95,ONIX,95.png,THE ROCK SNAKE POKÉMON,ROCK,3,3,8,6,,,,Whenever an ally is at full HP and would be reduced to O. Onix leaves them at 1 HP instead.,,,,,,95.png,No.O95,,,
1,base2b.png,No.1O5,MAROWAK,105.png,THE BONE KEEPER POKÉMON,GROUND,5,5,8,4,,,,"The first time an ally performs a Move, Marowak may take any card from the discard pile, and place it on top of the deck.",,104.png,,No.1O4,,,,,105.png,No.1O5
1,base1.png,No.1O6,HITMONLEE,106.png,THE KICKING POKÉMON,FIGHTING,4,6,7,7,,,,"Whenever Hitmonlee uses a move containing the word 'Kick', repeat it.",,,,,,106.png,No.1O6,,,
1,base1.png,No.1O7,HITMONCHAN,107.png,THE PUNCHING POKÉMON,FIGHTING,4,6,8,6,,,,"Whenever Hitmonchan uses a move containing the word 'Punch', repeat it.",,,,,,107.png,No.1O7,,,
1,base1.png,No.1O8,LICKITUNG,108.png,THE LICKING POKÉMON,NORMAL,8,5,6,3,,,,"Instead of Moving this turn, Lickitung allows you to Encounter your current space instead.",,,,,,108.png,No.1O8,,,
1,base1.png,No.114,TANGELA,114.png,THE VINE POKÉMON,GRASS,6,6,6,5,,,,,,,,,,114.png,No.114,,,
1,base2b.png,No.117,SEADRA,117.png,THE DRAGON POKÉMON,WATER,5,6,6,7,,,,"Whenever a die enters an ally's Attack Zone, Seaking grants all allies +1 DEF.",,116.png,,No.116,,,,,117.png,No.117
