units,base,id,name,sprite,title,type,hp,atk,def,spd,trigger,trigger2,trigger3,ability,explanation,sm1sprite,lg1sprite,ida,sm2sprite,lg2sprite,idb,sm3sprite,lg3sprite,idc,tier,common,uncommon,rare,se,setext
1,base3a.png,No.OO1,BULBASAUR,1.png,THE SEED POKÉMON,GRASS,4,5,5,2,,,,If you have at least 1 die in both your Attack Zone & Defense Zone Bulbasaur gains +1 ATK & +1 DEF.,,,1.png,No.OO1,2.png,,No.OO2,3.png,,No.OO3,T0.png,T0.png,,,WaterType.png,+1
1,base3a.png,No.OO4,CHARMANDER,4.png,THE LIZARD POKÉMON,FIRE,3,5,4,3,,,,If you have at least 1 die in your Attack Zone Charmander gains +1 ATK.,,,4.png,No.OO4,5.png,,No.OO5,6.png,,No.OO6,T0.png,T0.png,,,GrassType.png,+1
1,base3a.png,No.OO7,SQUIRTLE,7.png,THE TINY TURTLE POKÉMON,WATER,4,4,5,2,,,,If you have at least 1 die in your Defense Zone Squirtle gains +1 DEF.,,,7.png,No.OO7,8.png,,No.OO8,9.png,,No.OO9,T0.png,T0.png,,,FireType.png,+1
1,base3a.png,No.O1O,CATERPIE,10.png,THE WORM POKÉMON,BUG,4,2,2,2,,,,When Metapod is revealed (even if not encountered). Evolve Caterpie immediately. Re-draw the encounter.,,,10.png,No.O1O,11.png,,No.O11,12.png,,No.O12,T1.png,T1.png,,,IceType.png,+1
1,base3b.png,No.O11,METAPOD,11.png,THE COCOON POKÉMON,BUG,4,2,3,2,,,,When Butterfree is revealed (even if not encountered). Evolve Metapod immediately. Re-draw the encounter.,,10.png,,No.O1O,,11.png,No.O11,12.png,,No.O12,T1.png,T1.png,,,IceType.png,+1
1,base3a.png,No.O13,WEEDLE,13.png,THE HAIRY BUG POKÉMON,BUG,3,2,2,3,,,,When Kakuna is revealed (even if not encountered). Evolve Weedle immediately. Re-draw the encounter.,,,13.png,No.O13,14.png,,No.O14,15.png,,No.O15,T1.png,T1.png,,,IceType.png,+1
1,base3b.png,No.O14,KAKUNA,14.png,THE COCOON POKÉMON,BUG,3,2,3,2,,,,When Beedrill is revealed (even if not encountered). Evolve Kakuna immediately. Re-draw the encounter.,,13.png,,No.O13,,14.png,No.O14,15.png,,No.O15,T1.png,T1.png,,,IceType.png,+1
1,base3a.png,No.O16,PIDGEY,16.png,THE TINY BIRD POKÉMON,FLYING,3,3,3,3,,,,Pidgey gives the active Pokemon +1 SPD.,,,16.png,No.O16,17.png,,No.O17,18.png,,No.O18,T1.png,T1.png,,,GroundType.png,+1
1,base2a.png,No.O19,RATTATA,19.png,THE MOUSE POKÉMON,NORMAL,2,3,3,4,,,,"Whenever you release a Pokemon, Rattata gains +1 EXP.",,,19.png,No.O19,,,,20.png,,No.O2O,T1.png,T1.png,,,,
1,base2a.png,No.O21,SPEAROW,21.png,THE TINY BIRD POKÉMON,FLYING,3,4,2,4,,,,Whenever an opposing Pokemon is defeated Spearow let's the active Pokemon Discard 1 to Draw 1.,,,21.png,No.O21,,,,22.png,,No.O22,T1.png,T1.png,,,GroundType.png,+1
